% b (um)                                          ,w (um)                                            ,Ef (eV)                                           ,freq (THz)                                        ,S11 (1)                                           ,Absorptance (1)
4.706,13.157,0.44831,0.1,-0.9589223032443952+0.2502586225424418j           ,0.017838638
4.706,13.157,0.44831,0.2,-0.8466379968007758+0.4665668554857256j           ,0.065519472
4.706,13.157,0.44831,0.3,-0.6882823194549753+0.629646039219525j            ,0.129813314
4.706,13.157,0.44831,0.4,-0.5090291373427386+0.7368539011104491j           ,0.197935666
4.706,13.157,0.44831,0.5,-0.3262719780283244+0.7947910809026651j           ,0.261853734
4.706,13.157,0.44831,0.6,-0.14965212000505188+0.812023685617969j           ,0.318221777
4.706,13.157,0.44831,0.7,0.01589012935057368+0.7956901162662444j           ,0.366624743
4.706,13.157,0.44831,0.8,0.16742555268097448+0.7509741436261745j           ,0.40800652
4.706,13.157,0.44831,0.9,0.3025257731866722+0.6817092853247875j            ,0.443750607
4.706,13.157,0.44831,1,0.41866387136877514+0.5911618671380966j           ,0.47524821
4.706,13.157,0.44831,1.1,0.5131288678076689+0.482654654166j                ,0.50374325
4.706,13.157,0.44831,1.2,0.5831859198230134+0.35998377720646196j           ,0.530305863
4.706,13.157,0.44831,1.3,0.6263570156819261+0.22765925592837294j           ,0.555848152
4.706,13.157,0.44831,1.4,0.6407495205648784+0.09100593776192112j           ,0.581157971
4.706,13.157,0.44831,1.5,0.6254207660589255-0.04385663823933792j           ,0.606925461
